,id,division,LVC_place,Waco_place,Texas_place,JB_place,events_played,average_place,SP_place,SK_place,total_cash,Vintage_place,MAO_place,VO_place,Memorial_place,Paradise_place,TVC_place,SSM_place,Belton_place,Dogwood_place,BGO_place,DDO_place,COM_place,LPO_place,Three_place,GHP_place,Dust_place,avg_std_away,Rumble_place,HUK_place,PH_place,Kitsap_place,OTB_place,Mich_place,USW_place,Norm_place,SCM_place,FSO_place,Tam_place,Port_place,Tenn_place,NT3_place,HPC_place,Turk_place,Utah_place,GCC_place,Mega_place,Titan_place,Chain2020_place,Holiday2020_place,Belton2020_place,LCT2020_place,ProWorlds_place,LCTB2020_place,LCTB2020_par,LCTB2020_prize,LCTB2020_DNF,total_cash_2021,LCTB2020_cash_std,LCTB2020_par_best,LCTB2020_std_away,NWA2020_place,VPO2020_place,Oklahoma2020_place,Hub2020_place,WOM2020_place,MBO2020_place,NorCal2020_place,state,WOGD2020_place,DGPTChamp2020_place,WomenNC2020_place,Aspen2020_place,BigRip2020_place,TexasSt2020_place,Clash2020_place,JB2020_place,Hollow2020_place,Music2020_place,SBM2020_place,Basket2020_place,Tyyni_place,Treebash_place,Canyons_place,Majestic_place,Four2020_place,Mville2020_place,Stafford2020_place,DMC_place,VacOpen_place,CNSAF_place,Silver_place,River_place,Jacks2020_place,Maine2020_place,ACC2020_place,MVP2020_place,Colo2020_place,Wash2020_place,Green2020_place,Kitsap2020_place,Keisari_place,Heat_place,Mad_place,Sevi_place,CCR_place,MSM_place,War_place,Pitt2020_place,GLO_place,FDO_place,Ontario2020_place,GHO2020_place,Swede2020_place,Kuopio_place,Preserve_place,NOC_place,Link_place,Idlewild2020_place,Ledge2020_place,Norm2020_place,Cedar2020_place,Ponca2020_place,River2020_place,Lake2020_place,MAO2020_place,Kuopio2020_place,Ledge_place,Portneuf_place,Firefly_place,Idle_place,Maine_place,Stafford_place,Mayhem_place,Lund_place,Brent_place,Ontario_place,Cedar_place,Sweden_place,Del_place,Ponca_place,MVP_place,Rivers_place,Toronto_place,Falcons_place,Trail_place,Chiro_place,Green_place,SEI_place,name,Nokia_place,Pitt_place
0,44184,FPO,2,7,4,1,35,2.6285714285714286,0,0,59877,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0.7012635482707338,0,0,0,0,2,0,5,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,1,0.0,,0.0,no,43304,2.5,-14.0,,1,1,1,0,0,1,0,,0,3,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,1,0,0,0,2,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,Catrina Allen,0,0
1,85942,FPO,9,9,4,7,31,6.129032258064516,0,0,31645,4,4,0,0,0,0,0,3,0,0,6,0,0,0,0,0,1.6908565065591319,0,0,0,0,4,0,4,0,11,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,,0.0,no,24480,2.5,-14.0,,0,0,0,0,3,0,0,,0,5,9,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,10,0,0,5,12,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,Missy Gannon,0,0
2,34563,FPO,6,3,9,3,27,4.148148148148148,0,1,29726,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1.1810433507394582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,,0.0,no,19436,2.5,-14.0,,0,0,0,0,1,0,0,,0,5,3,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,6,0,0,2,5,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,2,0,Sarah Hokom,0,0
3,81351,FPO,5,13,1,9,23,4.391304347826087,0,0,54630,0,0,0,2,0,0,0,8,0,0,1,0,0,0,0,0,1.2502416951090947,0,0,0,0,0,0,2,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,,0.0,no,30080,2.5,-14.0,,0,0,0,0,0,0,0,,0,1,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,Hailey King,0,0
4,62879,FPO,10,6,7,18,21,6.428571428571429,0,0,13950,0,0,3,3,0,0,0,4,0,0,7,0,0,0,0,0,1.6955044582420704,0,0,0,0,0,0,0,1,11,0,0,8,0,0,0,0,3,0,0,0,0,0,1,0,18,0.0,,0.0,no,10830,2.5,-14.0,,0,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Valerie Mandujano,0,0
5,48976,FPO,4,2,9,0,20,6.0,1,0,18159,0,0,0,1,0,0,1,0,0,0,12,0,0,0,2,0,1.4064385639252233,0,0,0,0,8,0,17,0,11,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,6,0.0,,0.0,no,16191,2.5,-14.0,,0,0,0,0,0,0,1,,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,Ohn Scoggins,0,0
6,32654,FPO,14,4,13,0,32,6.90625,0,0,25215,5,0,1,0,0,0,0,4,0,4,14,0,0,0,1,0,1.80249232243592,0,0,0,0,5,0,8,0,8,0,0,17,0,0,0,0,5,0,0,0,0,0,0,0,3,0.0,,0.0,no,16923,2.5,-14.0,,0,0,0,0,3,0,0,,0,4,15,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,3,20,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,Lisa Fajkus,0,0
7,27832,FPO,6,1,26,5,30,10.2,0,0,19222,6,0,0,0,0,0,0,4,0,0,5,0,0,0,7,0,2.6347646216868714,0,0,0,0,8,0,7,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,25,0.0,,0.0,no,16288,2.5,-14.0,,0,0,0,0,0,0,0,,0,9,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,16,0,0,6,0,0,0,0,0,0,0,0,6,26,0,0,0,0,0,7,0,0,22,27,0,0,0,0,0,0,0,16,0,0,14,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,13,0,Kona Star Panis,0,0
8,50656,FPO,3,16,8,18,33,8.030303030303031,0,0,23724,2,0,0,6,0,0,0,7,0,2,0,0,0,0,3,0,2.015597690667026,0,0,0,0,3,0,9,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0,,0.0,no,18188,2.5,-14.0,,0,0,0,0,0,0,0,,0,5,11,0,0,0,0,4,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,10,0,0,5,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,4,0,0,6,20,0,0,0,0,0,0,0,15,0,0,13,0,0,0,0,0,0,0,0,7,0,21,0,0,0,0,0,5,0,Jessica Weese,0,0
9,32917,FPO,8,11,3,20,27,12.88888888888889,0,0,10519,8,9,0,0,0,0,0,14,0,0,25,0,0,0,0,0,3.12286830079701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,50,0.0,,0.0,no,7390,2.5,-14.0,,0,0,0,0,0,3,0,,0,9,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,12,0,0,0,33,0,0,0,0,0,8,0,0,18,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,15,0,Rebecca Cox,0,3
