Turku2020,Prodigy - Turku,28,2020,A,Turku2020,46093,-24,0,100
Silver2020,Silver Cup 2020,28,2020,A,Silver2020,43971,-31,1,129
Lang2020,Seviren Lang Memorial 2020,29,2020,A,Lang2020,43578,-32,12,50
Tampere2020,Prodigy - Tampere 2020,30,2020,A,Tampere2020,46173,-16,15,103
GLO2020,Great Lakes Open 2020,30,2020,NT,GLO2020,44224,-33,-16,1000
Alut2020,Alutaguse Open 2020,30,2020,A,Alut2020,43716,-23,-4,77
Kuopio2020,Prodigy - Kuopio 2020,31,2020,A,Kuopio2020,46094,-39,-13,80
MAO2020,Mid America Open 2020,31,2020,A,MAO2020,43740,-19,7,1000
Lake2020,Lake Superior Open 2020,31,2020,A,Lake2020,43446,-28,-3,79
River2020,River City Open 2020,31,2020,A,River2020,43383,-39,-14,88
Ponca2020,Ponca City Open 2020,31,2020,A,Ponca2020,43387,-23,nan,34
Idlewild2020,Idlewild Open 2020,32,2020,NT,Idlewild2020,43983,-27,8,1000
Cedar2020,Cedar Creek Open 2020,32,2020,A,Cedar2020,43575,-32,45,53
Norm2020,Norman Pro-Am 2020,32,2020,A/B,Norm2020,43444,-19,29,32
Finnish2020,Finnish Nationals 2020,32,2020,A,Finnish2020,45904,-32,9,1000
Ledge2020,Ledgestone Insurance Open 2020,33,2020,NT,Ledge2020,43452,-35,-24,1000
Swede2020,Swedish Championships 2020,33,2020,A,Swede2020,45576,-49,15,84
GHO2020,Greater Hartford Open 2020,34,2020,A,GHO2020,43380,-20,33,48
Ontario2020,Ontario Championship 2020,34,2020,A/B,Ontario2020,44814,-43,-12,25
Pitt2020,Pittsburgh Open 2020,34,2020,A,Pitt2020,43393,-21,-11,49
Kitsap2020,Kitsap Classic 2020,35,2020,A,Kitsap2020,43553,-45,21,54
Green2020,Green Mountain 2020,36,2020,NT,Green2020,44114,-37,-14,1000
Wash2020,Washington States 2020,36,2020,A/B,Wash2020,46487,-36,14,31
Colo2020,Colorado States 2020,36,2020,A,Colo2020,43589,-27,5,42
MVP2020,MVP Open 2020,37,2020,NT,MVP2020,44653,-23,-6,125
ACC2020,Atl. Can. Champs,37,2020,A,ACC2020,44182,1,nan,7
Maine2020,Maine States 2020,38,2020,A,Maine2020,43949,-25,0,67
Jacks2020,Jacksonville Open 2020,38,2020,A,Jacks2020,43661,-17,10,42
Mville2020,Madisonville Open 2020,38,2020,A,Mville2020,43410,-39,nan,22
Stafford2020,Stafford Open 2020,38,2020,A,Stafford2020,43545,-33,2,66
Four2020,Four States 2020,38,2020,A/B,Four2020,44481,-19,-13,44
Basket2020,Basket Bashers 2020,38,2020,A,Basket2020,43527,-33,16,49
SBM2020,Seth Burton Memorial 2020,38,2020,A/B,SBM2020,43440,-14,23,35
Music2020,Music City Open 2020,39,2020,A,Music2020,43487,-24,-8,166
Hollow2020,Hallows Fall 2020,39,2020,A,Hollow2020,43392,-20,1,36
JB2020,Jonesboro Open 2020,40,2020,NT,JB2020,43778,-31,-33,1000
Clash2020,Carolina Clash 2020,40,2020,A,Clash2020,44209,-17,11,70
TexasSt2020,Texas States 2020,40,2020,A,TexasSt2020,43763,-22,-5,94
BigRip2020,Big Rip Classic 2020,40,2020,A,BigRip2020,43450,-24,7,34
Aspen2020,Aspen Treebash Open 2020,41,2020,A,Aspen2020,44273,-18,6,48
WomenNC2020,Women's National Championship 2020,41,2020,Major,WomenNC2020,46345,nan,-21,1000
USDGC2020,US Disc Golf Championship 2020,41,2020,Major,USDGC2020,43838,-30,nan,1000
DGPTChamp2020,DGPT Tour Championship 2020,42,2020,NT,DGPTChamp2020,44743,nan,nan,1000
WOGD2020,Weapons of Grass Destruction 2020,42,2020,A,WOGD2020,43381,-22,62,33
NorCal2020,Norcal Series Championship 2020,42,2020,A,NorCal2020,43847,-24,-10,42
MBO2020,Myrtle Beach Open 2020,43,2020,A,MBO2020,43404,-29,5,67
WOM2020,Women's Open of Maryland 2020,43,2020,A/B,WOM2020,43492,999,-18,12
Oklahoma2020,Oklahoma Open 2020,44,2020,A/B,Oklahoma2020,46667,-21,-1,51
Hub2020,Hub City Halloween Open 2020,44,2020,A,Hub2020,43462,-41,-1,64
VPO2020,Veterans Park Open 2020,45,2020,A,VPO2020,43733,-29,0,79
NWA2020,NW Arkansas Open 2020,46,2020,A,NWA2020,43682,-32,4,69
LCT2020,Lake County Trailblazer 2020,46,2020,B/A,LCT2020,43959,-20,-14,18
Belton2020,The Open at Belton 2020,47,2020,A,Belton2020,43463,-26,5,65
Holiday2020,Doc Holiday Shoot Out,49,2020,B/A,Holiday2020,43471,-33,1,22
Chain2020,Chain Hawk Open,49,2020,A,Chain2020,43947,-30,-2,48
SSM,Shelly Sharpe Memorial,2,2021,A/B,SSM,47994,-27,+1,46
VO,Victoria Open,6,2021,A,VO,48009,-15,+5,45
LVC,Las Vegas Classic,8,2021,NT,LVC,47877,-48,-25
Memorial,Memorial Open,10,2021,A,Memorial,48068,-42,-5,122
Waco,Waco Charity Open,10,2021,NT,Waco,48685,-26,-16
SP,St. Patricks Classic,11,2021,A,SP,48664,-37,-4,90
SK,Sun Kings Throwdown,11,2021,A,SK,48006,-22,-7,74
Belton,The Open at Belton,11,2021,A/B,Belton,47888,-43,-6,145
Paradise,Paradise Plates NZ,11,2021,A,Paradise,48020,-25,+9,37
Texas,Texas States,12,2021,NT,Texas,47512,-28,-7
TVC,Treasure Valley Cup,12,2021,A,TVC,48155,-37,0,51
Dogwood,Dogwood Crosstown Classic,12,2021,A,Dogwood,47952,-29,+9,60
Vintage,Vintage Open,14,2021,A,Vintage,48119,-26,-8
